 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.261E+01     0.922E-04    -0.110E-03    -0.961E-05     0.143E-03
    -0.260E+01     0.916E-04    -0.109E-03    -0.291E-05     0.143E-03
    -0.260E+01     0.909E-04    -0.109E-03     0.360E-05     0.142E-03
    -0.259E+01     0.902E-04    -0.108E-03     0.993E-05     0.140E-03
    -0.259E+01     0.896E-04    -0.107E-03     0.161E-04     0.139E-03
    -0.258E+01     0.889E-04    -0.106E-03     0.220E-04     0.137E-03
    -0.257E+01     0.882E-04    -0.105E-03     0.277E-04     0.135E-03
    -0.257E+01     0.875E-04    -0.105E-03     0.332E-04     0.132E-03
    -0.256E+01     0.868E-04    -0.104E-03     0.385E-04     0.130E-03
    -0.255E+01     0.861E-04    -0.103E-03     0.436E-04     0.127E-03
    -0.255E+01     0.854E-04    -0.102E-03     0.485E-04     0.124E-03
    -0.254E+01     0.847E-04    -0.101E-03     0.532E-04     0.121E-03
    -0.253E+01     0.840E-04    -0.100E-03     0.576E-04     0.118E-03
    -0.253E+01     0.833E-04    -0.996E-04     0.618E-04     0.114E-03
    -0.252E+01     0.826E-04    -0.988E-04     0.657E-04     0.111E-03
    -0.251E+01     0.819E-04    -0.980E-04     0.695E-04     0.107E-03
    -0.251E+01     0.812E-04    -0.971E-04     0.730E-04     0.103E-03
    -0.250E+01     0.805E-04    -0.963E-04     0.762E-04     0.998E-04
    -0.249E+01     0.798E-04    -0.955E-04     0.792E-04     0.960E-04
    -0.249E+01     0.791E-04    -0.946E-04     0.820E-04     0.922E-04
    -0.248E+01     0.784E-04    -0.938E-04     0.845E-04     0.883E-04
    -0.247E+01     0.777E-04    -0.929E-04     0.868E-04     0.844E-04
    -0.247E+01     0.769E-04    -0.920E-04     0.889E-04     0.805E-04
    -0.246E+01     0.762E-04    -0.911E-04     0.908E-04     0.766E-04
    -0.245E+01     0.754E-04    -0.902E-04     0.925E-04     0.727E-04
    -0.245E+01     0.747E-04    -0.893E-04     0.939E-04     0.687E-04
    -0.244E+01     0.739E-04    -0.884E-04     0.952E-04     0.648E-04
    -0.243E+01     0.732E-04    -0.875E-04     0.964E-04     0.610E-04
    -0.243E+01     0.724E-04    -0.867E-04     0.974E-04     0.571E-04
    -0.242E+01     0.717E-04    -0.858E-04     0.982E-04     0.533E-04
    -0.242E+01     0.710E-04    -0.849E-04     0.989E-04     0.496E-04
    -0.241E+01     0.703E-04    -0.841E-04     0.995E-04     0.459E-04
    -0.240E+01     0.696E-04    -0.833E-04     0.100E-03     0.422E-04
    -0.240E+01     0.689E-04    -0.825E-04     0.100E-03     0.387E-04
    -0.239E+01     0.683E-04    -0.817E-04     0.101E-03     0.352E-04
    -0.238E+01     0.677E-04    -0.809E-04     0.101E-03     0.318E-04
    -0.238E+01     0.670E-04    -0.802E-04     0.101E-03     0.284E-04
    -0.237E+01     0.664E-04    -0.795E-04     0.101E-03     0.252E-04
    -0.236E+01     0.658E-04    -0.788E-04     0.100E-03     0.220E-04
    -0.236E+01     0.652E-04    -0.780E-04     0.100E-03     0.189E-04
    -0.235E+01     0.646E-04    -0.773E-04     0.995E-04     0.158E-04
    -0.234E+01     0.640E-04    -0.766E-04     0.990E-04     0.129E-04
    -0.234E+01     0.634E-04    -0.759E-04     0.983E-04     0.996E-05
    -0.233E+01     0.628E-04    -0.751E-04     0.976E-04     0.713E-05
    -0.232E+01     0.622E-04    -0.744E-04     0.968E-04     0.436E-05
    -0.232E+01     0.616E-04    -0.737E-04     0.959E-04     0.167E-05
    -0.231E+01     0.609E-04    -0.729E-04     0.949E-04    -0.960E-06
    -0.230E+01     0.603E-04    -0.722E-04     0.939E-04    -0.351E-05
    -0.230E+01     0.597E-04    -0.714E-04     0.929E-04    -0.599E-05
    -0.229E+01     0.591E-04    -0.707E-04     0.917E-04    -0.839E-05
    -0.228E+01     0.585E-04    -0.700E-04     0.906E-04    -0.107E-04
    -0.228E+01     0.579E-04    -0.692E-04     0.894E-04    -0.129E-04
    -0.227E+01     0.573E-04    -0.685E-04     0.881E-04    -0.151E-04
    -0.226E+01     0.567E-04    -0.679E-04     0.869E-04    -0.172E-04
    -0.226E+01     0.562E-04    -0.672E-04     0.855E-04    -0.191E-04
    -0.225E+01     0.556E-04    -0.665E-04     0.842E-04    -0.210E-04
    -0.224E+01     0.551E-04    -0.659E-04     0.828E-04    -0.228E-04
    -0.224E+01     0.545E-04    -0.652E-04     0.814E-04    -0.245E-04
    -0.223E+01     0.540E-04    -0.646E-04     0.800E-04    -0.262E-04
    -0.223E+01     0.535E-04    -0.640E-04     0.786E-04    -0.277E-04
    -0.222E+01     0.529E-04    -0.633E-04     0.771E-04    -0.292E-04
    -0.221E+01     0.524E-04    -0.627E-04     0.757E-04    -0.307E-04
    -0.221E+01     0.519E-04    -0.621E-04     0.742E-04    -0.320E-04
    -0.220E+01     0.514E-04    -0.615E-04     0.728E-04    -0.334E-04
    -0.219E+01     0.509E-04    -0.609E-04     0.713E-04    -0.346E-04
    -0.219E+01     0.504E-04    -0.603E-04     0.699E-04    -0.358E-04
    -0.218E+01     0.499E-04    -0.598E-04     0.685E-04    -0.370E-04
    -0.217E+01     0.495E-04    -0.592E-04     0.671E-04    -0.381E-04
    -0.217E+01     0.490E-04    -0.587E-04     0.657E-04    -0.392E-04
    -0.216E+01     0.486E-04    -0.582E-04     0.643E-04    -0.402E-04
    -0.215E+01     0.482E-04    -0.577E-04     0.630E-04    -0.412E-04
    -0.215E+01     0.478E-04    -0.572E-04     0.617E-04    -0.421E-04
    -0.214E+01     0.474E-04    -0.567E-04     0.603E-04    -0.429E-04
    -0.213E+01     0.470E-04    -0.563E-04     0.590E-04    -0.437E-04
    -0.213E+01     0.467E-04    -0.559E-04     0.577E-04    -0.445E-04
    -0.212E+01     0.463E-04    -0.554E-04     0.564E-04    -0.451E-04
    -0.211E+01     0.459E-04    -0.550E-04     0.552E-04    -0.458E-04
    -0.211E+01     0.456E-04    -0.545E-04     0.539E-04    -0.463E-04
    -0.210E+01     0.452E-04    -0.541E-04     0.526E-04    -0.468E-04
    -0.209E+01     0.448E-04    -0.536E-04     0.513E-04    -0.473E-04
    -0.209E+01     0.444E-04    -0.532E-04     0.501E-04    -0.477E-04
    -0.208E+01     0.440E-04    -0.527E-04     0.488E-04    -0.481E-04
    -0.207E+01     0.436E-04    -0.522E-04     0.476E-04    -0.485E-04
    -0.207E+01     0.432E-04    -0.517E-04     0.464E-04    -0.488E-04
    -0.206E+01     0.428E-04    -0.513E-04     0.452E-04    -0.491E-04
    -0.206E+01     0.425E-04    -0.508E-04     0.441E-04    -0.493E-04
    -0.205E+01     0.421E-04    -0.504E-04     0.430E-04    -0.496E-04
    -0.204E+01     0.417E-04    -0.499E-04     0.420E-04    -0.498E-04
    -0.204E+01     0.414E-04    -0.495E-04     0.410E-04    -0.500E-04
    -0.203E+01     0.411E-04    -0.492E-04     0.400E-04    -0.502E-04
    -0.202E+01     0.408E-04    -0.488E-04     0.391E-04    -0.504E-04
    -0.202E+01     0.406E-04    -0.485E-04     0.382E-04    -0.505E-04
    -0.201E+01     0.403E-04    -0.482E-04     0.374E-04    -0.507E-04
    -0.200E+01     0.401E-04    -0.480E-04     0.365E-04    -0.508E-04
    -0.200E+01     0.399E-04    -0.477E-04     0.358E-04    -0.509E-04
    -0.199E+01     0.397E-04    -0.475E-04     0.350E-04    -0.510E-04
    -0.198E+01     0.394E-04    -0.472E-04     0.343E-04    -0.510E-04
    -0.198E+01     0.392E-04    -0.470E-04     0.336E-04    -0.511E-04
    -0.197E+01     0.390E-04    -0.467E-04     0.329E-04    -0.511E-04
    -0.196E+01     0.388E-04    -0.465E-04     0.322E-04    -0.511E-04
    -0.196E+01     0.386E-04    -0.462E-04     0.316E-04    -0.511E-04
    -0.195E+01     0.384E-04    -0.459E-04     0.310E-04    -0.511E-04
    -0.194E+01     0.382E-04    -0.457E-04     0.304E-04    -0.511E-04
    -0.194E+01     0.380E-04    -0.454E-04     0.299E-04    -0.511E-04
    -0.193E+01     0.378E-04    -0.452E-04     0.294E-04    -0.510E-04
    -0.192E+01     0.376E-04    -0.449E-04     0.289E-04    -0.510E-04
    -0.192E+01     0.374E-04    -0.447E-04     0.285E-04    -0.509E-04
    -0.191E+01     0.372E-04    -0.445E-04     0.281E-04    -0.508E-04
    -0.190E+01     0.370E-04    -0.443E-04     0.278E-04    -0.508E-04
    -0.190E+01     0.369E-04    -0.442E-04     0.275E-04    -0.507E-04
    -0.189E+01     0.368E-04    -0.440E-04     0.272E-04    -0.506E-04
    -0.188E+01     0.367E-04    -0.439E-04     0.269E-04    -0.505E-04
    -0.188E+01     0.366E-04    -0.438E-04     0.267E-04    -0.504E-04
    -0.187E+01     0.365E-04    -0.437E-04     0.265E-04    -0.503E-04
    -0.187E+01     0.364E-04    -0.436E-04     0.264E-04    -0.502E-04
    -0.186E+01     0.363E-04    -0.435E-04     0.262E-04    -0.501E-04
    -0.185E+01     0.362E-04    -0.434E-04     0.261E-04    -0.500E-04
    -0.185E+01     0.361E-04    -0.433E-04     0.260E-04    -0.499E-04
    -0.184E+01     0.361E-04    -0.431E-04     0.260E-04    -0.497E-04
    -0.183E+01     0.360E-04    -0.430E-04     0.259E-04    -0.496E-04
    -0.183E+01     0.359E-04    -0.429E-04     0.259E-04    -0.495E-04
    -0.182E+01     0.358E-04    -0.428E-04     0.259E-04    -0.493E-04
    -0.181E+01     0.357E-04    -0.427E-04     0.260E-04    -0.491E-04
    -0.181E+01     0.356E-04    -0.426E-04     0.261E-04    -0.490E-04
    -0.180E+01     0.355E-04    -0.424E-04     0.262E-04    -0.488E-04
    -0.179E+01     0.354E-04    -0.424E-04     0.264E-04    -0.486E-04
    -0.179E+01     0.353E-04    -0.423E-04     0.266E-04    -0.484E-04
    -0.178E+01     0.353E-04    -0.422E-04     0.268E-04    -0.482E-04
    -0.177E+01     0.353E-04    -0.422E-04     0.270E-04    -0.480E-04
    -0.177E+01     0.352E-04    -0.422E-04     0.273E-04    -0.478E-04
    -0.176E+01     0.352E-04    -0.421E-04     0.276E-04    -0.475E-04
    -0.175E+01     0.352E-04    -0.421E-04     0.280E-04    -0.473E-04
    -0.175E+01     0.352E-04    -0.421E-04     0.283E-04    -0.470E-04
    -0.174E+01     0.352E-04    -0.421E-04     0.287E-04    -0.467E-04
    -0.173E+01     0.352E-04    -0.421E-04     0.290E-04    -0.464E-04
    -0.173E+01     0.351E-04    -0.421E-04     0.294E-04    -0.461E-04
    -0.172E+01     0.351E-04    -0.420E-04     0.298E-04    -0.458E-04
    -0.171E+01     0.350E-04    -0.419E-04     0.302E-04    -0.454E-04
    -0.171E+01     0.350E-04    -0.419E-04     0.306E-04    -0.450E-04
    -0.170E+01     0.349E-04    -0.418E-04     0.311E-04    -0.446E-04
    -0.170E+01     0.348E-04    -0.416E-04     0.315E-04    -0.441E-04
    -0.169E+01     0.347E-04    -0.415E-04     0.320E-04    -0.436E-04
    -0.168E+01     0.346E-04    -0.414E-04     0.325E-04    -0.431E-04
    -0.168E+01     0.345E-04    -0.413E-04     0.330E-04    -0.426E-04
    -0.167E+01     0.344E-04    -0.411E-04     0.335E-04    -0.420E-04
    -0.166E+01     0.343E-04    -0.410E-04     0.340E-04    -0.414E-04
    -0.166E+01     0.342E-04    -0.409E-04     0.345E-04    -0.407E-04
    -0.165E+01     0.340E-04    -0.407E-04     0.350E-04    -0.400E-04
    -0.164E+01     0.339E-04    -0.406E-04     0.355E-04    -0.393E-04
    -0.164E+01     0.338E-04    -0.405E-04     0.361E-04    -0.386E-04
    -0.163E+01     0.337E-04    -0.404E-04     0.366E-04    -0.378E-04
    -0.162E+01     0.336E-04    -0.402E-04     0.371E-04    -0.370E-04
    -0.162E+01     0.335E-04    -0.401E-04     0.376E-04    -0.362E-04
    -0.161E+01     0.334E-04    -0.399E-04     0.381E-04    -0.354E-04
    -0.160E+01     0.332E-04    -0.398E-04     0.385E-04    -0.345E-04
    -0.160E+01     0.331E-04    -0.396E-04     0.390E-04    -0.336E-04
    -0.159E+01     0.329E-04    -0.394E-04     0.394E-04    -0.327E-04
    -0.158E+01     0.327E-04    -0.392E-04     0.398E-04    -0.318E-04
    -0.158E+01     0.325E-04    -0.389E-04     0.402E-04    -0.308E-04
    -0.157E+01     0.323E-04    -0.387E-04     0.407E-04    -0.298E-04
    -0.156E+01     0.321E-04    -0.385E-04     0.411E-04    -0.288E-04
    -0.156E+01     0.319E-04    -0.382E-04     0.415E-04    -0.277E-04
    -0.155E+01     0.318E-04    -0.380E-04     0.419E-04    -0.266E-04
    -0.154E+01     0.316E-04    -0.378E-04     0.423E-04    -0.255E-04
    -0.154E+01     0.314E-04    -0.376E-04     0.426E-04    -0.244E-04
    -0.153E+01     0.313E-04    -0.375E-04     0.430E-04    -0.233E-04
    -0.152E+01     0.312E-04    -0.373E-04     0.434E-04    -0.221E-04
