 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.209E+01     0.514E-04    -0.415E-03    -0.210E-03     0.692E-04
    -0.209E+01     0.531E-04    -0.408E-03    -0.209E-03     0.721E-04
    -0.208E+01     0.548E-04    -0.400E-03    -0.207E-03     0.749E-04
    -0.207E+01     0.565E-04    -0.390E-03    -0.204E-03     0.774E-04
    -0.207E+01     0.582E-04    -0.378E-03    -0.201E-03     0.797E-04
    -0.206E+01     0.600E-04    -0.366E-03    -0.197E-03     0.817E-04
    -0.206E+01     0.617E-04    -0.353E-03    -0.193E-03     0.834E-04
    -0.205E+01     0.635E-04    -0.340E-03    -0.188E-03     0.848E-04
    -0.204E+01     0.652E-04    -0.326E-03    -0.184E-03     0.858E-04
    -0.204E+01     0.669E-04    -0.314E-03    -0.178E-03     0.865E-04
    -0.203E+01     0.686E-04    -0.303E-03    -0.173E-03     0.870E-04
    -0.202E+01     0.701E-04    -0.293E-03    -0.168E-03     0.872E-04
    -0.202E+01     0.716E-04    -0.285E-03    -0.163E-03     0.873E-04
    -0.201E+01     0.729E-04    -0.278E-03    -0.158E-03     0.873E-04
    -0.200E+01     0.740E-04    -0.274E-03    -0.154E-03     0.873E-04
    -0.200E+01     0.749E-04    -0.272E-03    -0.150E-03     0.874E-04
    -0.199E+01     0.755E-04    -0.272E-03    -0.146E-03     0.877E-04
    -0.198E+01     0.759E-04    -0.274E-03    -0.143E-03     0.882E-04
    -0.198E+01     0.760E-04    -0.277E-03    -0.140E-03     0.891E-04
    -0.197E+01     0.758E-04    -0.282E-03    -0.139E-03     0.903E-04
    -0.196E+01     0.753E-04    -0.289E-03    -0.137E-03     0.920E-04
    -0.196E+01     0.747E-04    -0.296E-03    -0.136E-03     0.940E-04
    -0.195E+01     0.738E-04    -0.303E-03    -0.136E-03     0.965E-04
    -0.194E+01     0.727E-04    -0.311E-03    -0.136E-03     0.994E-04
    -0.194E+01     0.715E-04    -0.318E-03    -0.137E-03     0.103E-03
    -0.193E+01     0.702E-04    -0.324E-03    -0.137E-03     0.106E-03
    -0.192E+01     0.688E-04    -0.329E-03    -0.138E-03     0.110E-03
    -0.192E+01     0.675E-04    -0.333E-03    -0.138E-03     0.114E-03
    -0.191E+01     0.663E-04    -0.335E-03    -0.139E-03     0.118E-03
    -0.190E+01     0.652E-04    -0.334E-03    -0.139E-03     0.122E-03
    -0.190E+01     0.642E-04    -0.332E-03    -0.138E-03     0.125E-03
    -0.189E+01     0.636E-04    -0.328E-03    -0.138E-03     0.129E-03
    -0.188E+01     0.631E-04    -0.321E-03    -0.136E-03     0.132E-03
    -0.188E+01     0.630E-04    -0.313E-03    -0.134E-03     0.134E-03
    -0.187E+01     0.632E-04    -0.303E-03    -0.131E-03     0.136E-03
    -0.187E+01     0.637E-04    -0.292E-03    -0.128E-03     0.137E-03
    -0.186E+01     0.645E-04    -0.279E-03    -0.123E-03     0.137E-03
    -0.185E+01     0.656E-04    -0.266E-03    -0.119E-03     0.137E-03
    -0.185E+01     0.670E-04    -0.253E-03    -0.113E-03     0.136E-03
    -0.184E+01     0.686E-04    -0.241E-03    -0.107E-03     0.134E-03
    -0.183E+01     0.703E-04    -0.228E-03    -0.101E-03     0.132E-03
    -0.183E+01     0.723E-04    -0.217E-03    -0.945E-04     0.130E-03
    -0.182E+01     0.743E-04    -0.208E-03    -0.879E-04     0.127E-03
    -0.181E+01     0.763E-04    -0.200E-03    -0.814E-04     0.124E-03
