             psi         ni[m^-3]         ne[m^-3]           ti[eV]           te[eV]        we[rad/s]
    9.972359E-01     3.093078E+16     3.093078E+16     3.291870E-02     3.291870E-02     5.453044E+04
    9.974354E-01     3.014281E+16     3.014281E+16     3.343906E-02     3.343906E-02     5.453044E+04
    9.976133E-01     2.944003E+16     2.944003E+16     3.396911E-02     3.396911E-02     5.453044E+04
    9.977742E-01     2.880427E+16     2.880427E+16     3.450368E-02     3.450368E-02     5.453044E+04
    9.979203E-01     2.822692E+16     2.822692E+16     3.503568E-02     3.503568E-02     5.453044E+04
    9.980537E-01     2.769966E+16     2.769966E+16     3.556120E-02     3.556120E-02     5.453044E+04
    9.981765E-01     2.721449E+16     2.721449E+16     3.607908E-02     3.607908E-02     5.453044E+04
    9.982905E-01     2.676394E+16     2.676394E+16     3.659016E-02     3.659016E-02     5.453044E+04
    9.983954E-01     2.634922E+16     2.634922E+16     3.708685E-02     3.708685E-02     5.453044E+04
    9.984923E-01     2.596589E+16     2.596589E+16     3.756884E-02     3.756884E-02     5.453044E+04
    9.985847E-01     2.560067E+16     2.560067E+16     3.804893E-02     3.804893E-02     5.453044E+04
    9.986705E-01     2.526140E+16     2.526140E+16     3.851358E-02     3.851358E-02     5.453044E+04
    9.987513E-01     2.494165E+16     2.494165E+16     3.896828E-02     3.896828E-02     5.453044E+04
    9.988289E-01     2.463479E+16     2.463479E+16     3.942026E-02     3.942026E-02     5.453044E+04
    9.989010E-01     2.434953E+16     2.434953E+16     3.985441E-02     3.985441E-02     5.453044E+04
    9.989713E-01     2.407155E+16     2.407155E+16     4.029070E-02     4.029070E-02     5.453044E+04
    9.990371E-01     2.381128E+16     2.381128E+16     4.071122E-02     4.071122E-02     5.453044E+04
    9.991010E-01     2.355861E+16     2.355861E+16     4.113082E-02     4.113082E-02     5.453044E+04
    9.991624E-01     2.331562E+16     2.331562E+16     4.154506E-02     4.154506E-02     5.453044E+04
    9.992207E-01     2.308467E+16     2.308467E+16     4.194871E-02     4.194871E-02     5.453044E+04
    9.992791E-01     2.285370E+16     2.285370E+16     4.236223E-02     4.236223E-02     5.453044E+04
    9.993330E-01     2.264052E+16     2.264052E+16     4.275279E-02     4.275279E-02     5.453044E+04
    9.993868E-01     2.242768E+16     2.242768E+16     4.315140E-02     4.315140E-02     5.453044E+04
    9.994394E-01     2.221925E+16     2.221925E+16     4.355025E-02     4.355025E-02     5.453044E+04
    9.994895E-01     2.202092E+16     2.202092E+16     4.393775E-02     4.393775E-02     5.453044E+04
    9.995396E-01     2.182258E+16     2.182258E+16     4.433316E-02     4.433316E-02     5.453044E+04
    9.995886E-01     2.162894E+16     2.162894E+16     4.472693E-02     4.472693E-02     5.453044E+04
    9.996359E-01     2.144150E+16     2.144150E+16     4.511553E-02     4.511553E-02     5.453044E+04
    9.996833E-01     2.125404E+16     2.125404E+16     4.551156E-02     4.551156E-02     5.453044E+04
    9.997299E-01     2.106943E+16     2.106943E+16     4.590894E-02     4.590894E-02     5.453044E+04
    9.997754E-01     2.088925E+16     2.088925E+16     4.630396E-02     4.630396E-02     5.453044E+04
    9.998209E-01     2.070905E+16     2.070905E+16     4.670621E-02     4.670621E-02     5.453044E+04
    9.998662E-01     2.052969E+16     2.052969E+16     4.711388E-02     4.711388E-02     5.453044E+04
    9.999108E-01     2.035314E+16     2.035314E+16     4.752237E-02     4.752237E-02     5.453044E+04
    9.999554E-01     2.017658E+16     2.017658E+16     4.793814E-02     4.793814E-02     5.453044E+04
    1.000000E+00     2.000000E+16     2.000000E+16     4.836137E-02     4.836137E-02     5.453044E+04
