psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
2.985971940E-01    1.200671070E+21    1.200671070E+21    7.803394980E+01    7.803394980E+01    2.776853705E+03 
3.006012020E-01    1.198541680E+21    1.198541680E+21    7.794923860E+01    7.794923860E+01    2.768919847E+03 
3.026052100E-01    1.196412290E+21    1.196412290E+21    7.786422580E+01    7.786422580E+01    2.760985973E+03 
3.046092180E-01    1.194282910E+21    1.194282910E+21    7.777890980E+01    7.777890980E+01    2.753052099E+03 
3.066132260E-01    1.192153520E+21    1.192153520E+21    7.769328910E+01    7.769328910E+01    2.745118241E+03 
3.086172340E-01    1.190024130E+21    1.190024130E+21    7.760736200E+01    7.760736200E+01    2.737184367E+03 
3.106212420E-01    1.187894740E+21    1.187894740E+21    7.752112680E+01    7.752112680E+01    2.729250493E+03 
3.126252510E-01    1.185765350E+21    1.185765350E+21    7.743458180E+01    7.743458180E+01    2.721316635E+03 
3.146292590E-01    1.183635960E+21    1.183635960E+21    7.734772550E+01    7.734772550E+01    2.713382777E+03 
3.166332670E-01    1.181506570E+21    1.181506570E+21    7.726055610E+01    7.726055610E+01    2.705448904E+03 
3.186372750E-01    1.179377180E+21    1.179377180E+21    7.717307200E+01    7.717307200E+01    2.697515030E+03 
3.206412830E-01    1.177247800E+21    1.177247800E+21    7.708527130E+01    7.708527130E+01    2.689581156E+03 
3.226452910E-01    1.175118410E+21    1.175118410E+21    7.699715250E+01    7.699715250E+01    2.681647298E+03 
3.246492990E-01    1.172989020E+21    1.172989020E+21    7.690871370E+01    7.690871370E+01    2.673713424E+03 
3.266533070E-01    1.170859630E+21    1.170859630E+21    7.681995320E+01    7.681995320E+01    2.665779566E+03 
3.286573150E-01    1.168730240E+21    1.168730240E+21    7.673086930E+01    7.673086930E+01    2.657845692E+03 
3.306613230E-01    1.166600850E+21    1.166600850E+21    7.664146020E+01    7.664146020E+01    2.649911818E+03 
3.326653310E-01    1.164471460E+21    1.164471460E+21    7.655172410E+01    7.655172410E+01    2.641977960E+03 
3.346693390E-01    1.162342070E+21    1.162342070E+21    7.646165930E+01    7.646165930E+01    2.634044086E+03 
3.366733470E-01    1.160212690E+21    1.160212690E+21    7.637126380E+01    7.637126380E+01    2.626110212E+03 
3.386773550E-01    1.158083300E+21    1.158083300E+21    7.628053590E+01    7.628053590E+01    2.618176354E+03 
