

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          3.007359651E-04          4.232423807E-05          1.524333363E-06          2.125126213E-07          2.425632829E-08          6.928509874E-09          2.078721446E-09          3.094513111E-10          4.551358922E-11
          3.038252120E-04          4.279723027E-05          1.544402861E-06          2.132169112E-07          2.416055340E-08          7.059918350E-09          2.093973164E-09          2.925274788E-10          5.016553011E-11
          3.069144589E-04          4.326756828E-05          1.564435326E-06          2.139102274E-07          2.406527203E-08          7.188368667E-09          2.108436142E-09          2.757308455E-10          5.473356395E-11
          3.107788648E-04          4.385222278E-05          1.589444008E-06          2.147623152E-07          2.394687322E-08          7.345065215E-09          2.125465737E-09          2.549162936E-10          6.032857695E-11
          3.146432708E-04          4.443280271E-05          1.614398764E-06          2.155977716E-07          2.382945774E-08          7.497541013E-09          2.141369587E-09          2.343401445E-10          6.579039187E-11
          3.185076767E-04          4.500934734E-05          1.639301701E-06          2.164168231E-07          2.371312448E-08          7.646009949E-09          2.156204022E-09          2.140218191E-10          7.111894038E-11
          3.223720827E-04          4.558189311E-05          1.664154840E-06          2.172196495E-07          2.359796024E-08          7.790676806E-09          2.170022656E-09          1.939796778E-10          7.631465625E-11
          3.289704402E-04          4.655035029E-05          1.706481230E-06          2.185533288E-07          2.340423514E-08          8.029458953E-09          2.191414368E-09          1.604490963E-10          8.488167298E-11
          3.355687976E-04          4.750739928E-05          1.748677189E-06          2.198405465E-07          2.321444620E-08          8.258642005E-09          2.210230008E-09          1.278796068E-10          9.307015256E-11
          3.421671551E-04          4.845317540E-05          1.790751242E-06          2.210815053E-07          2.302883146E-08          8.479074316E-09          2.226687753E-09          9.642944509E-11          1.008881619E-10
          3.487655125E-04          4.938779979E-05          1.832711367E-06          2.222762095E-07          2.284756534E-08          8.691540856E-09          2.240988585E-09          6.646260791E-11          1.083453158E-10
          3.553638700E-04          5.031138130E-05          1.874565033E-06          2.234245144E-07          2.267077077E-08          8.896765018E-09          2.253316960E-09          3.930536807E-11          1.154520466E-10
          3.633144548E-04          5.140970602E-05          1.924864416E-06          2.247461299E-07          2.246379066E-08          9.135367904E-09          2.265791480E-09          2.285442141E-11          1.235655455E-10
          3.712650397E-04          5.249229746E-05          1.975030790E-06          2.259993772E-07          2.226347169E-08          9.365484479E-09          2.275918525E-09          4.364615639E-11          1.312067791E-10
          3.792156245E-04          5.355929865E-05          2.025074748E-06          2.271835292E-07          2.206980612E-08          9.588075873E-09          2.283943230E-09          7.368917030E-11          1.383964769E-10
          3.871662094E-04          5.461084191E-05          2.075006124E-06          2.282978016E-07          2.188273060E-08          9.804007067E-09          2.290087047E-09          1.041668725E-10          1.451554346E-10
          3.951167943E-04          5.564705189E-05          2.124834062E-06          2.293413967E-07          2.170213566E-08          1.001405616E-08          2.294550784E-09          1.339314001E-10          1.515042456E-10
          4.030673791E-04          5.666804784E-05          2.174567067E-06          2.303135397E-07          2.152787456E-08          1.021892047E-08          2.297516117E-09          1.627264878E-10          1.574632010E-10
          4.189093159E-04          5.865753220E-05          2.273410435E-06          2.320347653E-07          2.119880744E-08          1.061407146E-08          2.299596059E-09          2.170153563E-10          1.682521493E-10
          4.347512526E-04          6.058797829E-05          2.371964359E-06          2.334648306E-07          2.089250416E-08          1.099520470E-08          2.297497493E-09          2.672798116E-10          1.777193982E-10
          4.505931894E-04          6.246030857E-05          2.470278034E-06          2.346007660E-07          2.060707042E-08          1.136556409E-08          2.292153198E-09          3.137967449E-10          1.860016367E-10
          4.664351261E-04          6.427549247E-05          2.568394285E-06          2.354416603E-07          2.034048268E-08          1.172761394E-08          2.284332549E-09          3.569051693E-10          1.932241513E-10
          4.822770629E-04          6.603456842E-05          2.666350341E-06          2.359888366E-07          2.009066273E-08          1.208315404E-08          2.274670746E-09          3.969588202E-10          1.995004248E-10
          4.981189996E-04          6.773866004E-05          2.764178478E-06          2.362459618E-07          1.985553922E-08          1.243341181E-08          2.263691127E-09          4.343077535E-10          2.049333087E-10
          5.139609364E-04          6.938898706E-05          2.861906541E-06          2.362190626E-07          1.963308746E-08          1.277912450E-08          2.251824384E-09          4.692902349E-10          2.096148334E-10
          5.298028731E-04          7.098687304E-05          2.959558370E-06          2.359165145E-07          1.942136414E-08          1.312060282E-08          2.239421844E-09          5.022291500E-10          2.136285313E-10
          5.456448099E-04          7.253375019E-05          3.057154163E-06          2.353489816E-07          1.921852874E-08          1.345779300E-08          2.226769116E-09          5.334295642E-10          2.170486180E-10
          5.614867466E-04          7.403116237E-05          3.154710771E-06          2.345293506E-07          1.902286422E-08          1.379032215E-08          2.214093766E-09          5.631793732E-10          2.199431387E-10
          5.773286833E-04          7.548076651E-05          3.252241950E-06          2.334726393E-07          1.883278939E-08          1.411754628E-08          2.201575398E-09          5.917476546E-10          2.223719214E-10
          5.902854981E-04          7.663206159E-05          3.331999601E-06          2.324439772E-07          1.868048128E-08          1.438062381E-08          2.191549446E-09          6.144121262E-10          2.240514700E-10
