
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  254  9.374E-04  1.164E-05  1.435E+00  5.647E-01  5.519E-02
  255  9.490E-04  1.164E-05  1.435E+00  5.647E-01  5.595E-02
  256  9.607E-04  1.164E-05  1.435E+00  5.647E-01  5.672E-02
  257  9.723E-04  1.164E-05  1.435E+00  5.647E-01  5.748E-02
  258  9.839E-04  1.164E-05  1.435E+00  5.646E-01  5.825E-02
  259  9.956E-04  1.164E-05  1.435E+00  5.646E-01  5.902E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    260, psi = 1.007E-03, q =  1.435

   is    psifac      dpsi        q       singfac     eval1

  260  1.007E-03  1.164E-05  1.435E+00  5.646E-01  5.978E-02
  261  1.007E-03  1.000E-07  1.435E+00  5.646E-01  5.979E-02
  262  1.007E-03  1.000E-07  1.435E+00  5.646E-01  5.979E-02
  263  1.009E-03  1.634E-06  1.435E+00  5.646E-01  5.990E-02
  264  1.011E-03  1.634E-06  1.435E+00  5.646E-01  6.001E-02
  265  1.012E-03  1.634E-06  1.435E+00  5.646E-01  6.012E-02
  266  1.018E-03  5.717E-06  1.435E+00  5.646E-01  6.049E-02
  267  1.024E-03  5.717E-06  1.435E+00  5.646E-01  6.087E-02
  268  1.029E-03  5.717E-06  1.435E+00  5.646E-01  6.125E-02
  269  1.035E-03  5.717E-06  1.435E+00  5.646E-01  6.162E-02
  270  1.042E-03  6.472E-06  1.435E+00  5.646E-01  6.205E-02
  271  1.048E-03  6.472E-06  1.435E+00  5.646E-01  6.247E-02
  272  1.055E-03  6.472E-06  1.435E+00  5.646E-01  6.290E-02
  273  1.061E-03  6.472E-06  1.435E+00  5.645E-01  6.333E-02
  274  1.068E-03  6.472E-06  1.435E+00  5.645E-01  6.375E-02
  275  1.078E-03  1.003E-05  1.435E+00  5.645E-01  6.441E-02
  276  1.088E-03  1.003E-05  1.435E+00  5.645E-01  6.507E-02
  277  1.098E-03  1.003E-05  1.436E+00  5.645E-01  6.573E-02
  278  1.108E-03  1.003E-05  1.436E+00  5.645E-01  6.639E-02
  279  1.118E-03  1.003E-05  1.436E+00  5.645E-01  6.705E-02
  280  1.130E-03  1.274E-05  1.436E+00  5.645E-01  6.789E-02
  281  1.143E-03  1.274E-05  1.436E+00  5.644E-01  6.873E-02
  282  1.156E-03  1.274E-05  1.436E+00  5.644E-01  6.956E-02
  283  1.169E-03  1.274E-05  1.436E+00  5.644E-01  7.040E-02
  284  1.181E-03  1.274E-05  1.436E+00  5.644E-01  7.124E-02
  285  1.194E-03  1.274E-05  1.436E+00  5.644E-01  7.208E-02
  286  1.214E-03  1.942E-05  1.436E+00  5.643E-01  7.336E-02
  287  1.233E-03  1.942E-05  1.436E+00  5.643E-01  7.463E-02
  288  1.252E-03  1.942E-05  1.436E+00  5.643E-01  7.591E-02
  289  1.272E-03  1.942E-05  1.436E+00  5.643E-01  7.719E-02
  290  1.291E-03  1.942E-05  1.436E+00  5.643E-01  7.846E-02
  291  1.311E-03  1.942E-05  1.436E+00  5.642E-01  7.974E-02
  292  1.330E-03  1.942E-05  1.436E+00  5.642E-01  8.102E-02
  293  1.350E-03  1.942E-05  1.436E+00  5.642E-01  8.230E-02
  294  1.369E-03  1.942E-05  1.436E+00  5.642E-01  8.357E-02
  295  1.388E-03  1.942E-05  1.436E+00  5.641E-01  8.485E-02
  296  1.408E-03  1.942E-05  1.436E+00  5.641E-01  8.613E-02
  297  1.427E-03  1.942E-05  1.436E+00  5.641E-01  8.740E-02
  298  1.447E-03  1.942E-05  1.436E+00  5.641E-01  8.868E-02
  299  1.466E-03  1.942E-05  1.436E+00  5.640E-01  8.996E-02
  300  1.485E-03  1.942E-05  1.436E+00  5.640E-01  9.123E-02
  301  1.505E-03  1.942E-05  1.436E+00  5.640E-01  9.251E-02
  302  1.524E-03  1.942E-05  1.436E+00  5.640E-01  9.379E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    303, psi = 1.544E-03, q =  1.436

   is    psifac      dpsi        q       singfac     eval1

  303  1.544E-03  1.942E-05  1.436E+00  5.639E-01  9.506E-02
  304  1.544E-03  1.000E-07  1.436E+00  5.639E-01  9.507E-02
  305  1.544E-03  1.000E-07  1.436E+00  5.639E-01  9.507E-02
  306  1.546E-03  2.410E-06  1.436E+00  5.639E-01  9.523E-02
  307  1.549E-03  2.410E-06  1.436E+00  5.639E-01  9.539E-02
  308  1.551E-03  2.410E-06  1.436E+00  5.639E-01  9.555E-02
  309  1.559E-03  8.285E-06  1.436E+00  5.639E-01  9.609E-02
  310  1.568E-03  8.285E-06  1.436E+00  5.639E-01  9.664E-02
  311  1.576E-03  8.285E-06  1.436E+00  5.639E-01  9.718E-02
  312  1.584E-03  8.285E-06  1.436E+00  5.639E-01  9.773E-02
  313  1.594E-03  9.509E-06  1.436E+00  5.639E-01  9.835E-02
