 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   2.02813604E-02  -10   5.60583066E-07   4.29252214E-07  -1.10586595E-06  -8.48687085E-07
   2.02813604E-02   -9   3.90632194E-07   8.58439807E-08  -1.19547396E-06  -5.95779502E-07
   2.02813604E-02   -8   9.38692373E-07   9.97452602E-07  -1.82136413E-06  -1.91611105E-06
   2.02813604E-02   -7   6.67335717E-07   5.56793641E-08  -2.30787781E-06  -8.83871979E-07
   2.02813604E-02   -6   9.22282490E-07   2.56181274E-06  -1.54343986E-06  -4.93471018E-06
   2.02813604E-02   -5   3.85237884E-07  -9.56061924E-07  -2.22106311E-06   2.46361523E-07
   2.02813604E-02   -4  -1.73131740E-06   8.80564501E-06   4.58988531E-06  -1.72314142E-05
   2.02813604E-02   -3   5.69184290E-07  -2.51970089E-06  -2.16838171E-06   1.73017202E-06
   2.02813604E-02   -2  -1.70422269E-05   2.84104296E-05   3.74328253E-05  -6.33854674E-05
   2.02813604E-02   -1  -6.89649378E-06   2.85977943E-05  -5.64847996E-05   5.68686498E-05
   2.02813604E-02    0   1.21948230E-03  -1.93234941E-03  -1.81906211E-03   2.79163704E-03
   2.02813604E-02    1   1.08092219E-04  -2.35133864E-05  -2.32460775E-03   3.19898761E-03
   2.02813604E-02    2   1.32233692E-04  -1.31007351E-04  -3.08599923E-04   3.36030080E-04
   2.02813604E-02    3   2.30511423E-05   9.66131002E-06  -7.44360003E-05  -8.58135544E-06
   2.02813604E-02    4   1.22827002E-05   8.87741294E-06  -9.36434765E-05   8.54371655E-05
   2.02813604E-02    5  -1.94765663E-05  -1.80162120E-05   2.89103719E-05   4.19354413E-05
   2.02813604E-02    6  -1.87305185E-05  -1.99220608E-05   3.60620558E-05   4.22798015E-05
   2.02813604E-02    7  -1.14681509E-06  -1.13335892E-06   9.19481333E-06   1.14397888E-05
   2.02813604E-02    8  -4.30102610E-06  -3.30464084E-06   8.09325083E-06   6.75864150E-06
   2.02813604E-02    9   1.58200293E-06   9.38739172E-07   1.54676321E-07   1.09819613E-06
   2.02813604E-02   10  -2.65641732E-06  -1.17107009E-06   3.66613349E-06   2.24493346E-06
   2.02813604E-02   11   4.76053751E-07  -3.38189190E-07   7.75655439E-07   1.71713822E-06
   2.02813604E-02   12  -1.51779647E-06  -4.26116524E-07   2.34870281E-06   1.54048567E-06
   2.02813604E-02   13  -1.99238149E-07  -7.64347375E-07   1.24430344E-06   2.12059480E-06
   2.02813604E-02   14  -9.71204825E-07  -5.09280672E-07   1.86777552E-06   1.80272525E-06
