
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  276  1.145E-03  1.074E-05  1.430E+00  5.701E-01  5.840E-02
  277  1.156E-03  1.074E-05  1.430E+00  5.701E-01  5.900E-02
  278  1.170E-03  1.366E-05  1.430E+00  5.701E-01  5.976E-02
  279  1.183E-03  1.366E-05  1.430E+00  5.701E-01  6.052E-02
  280  1.197E-03  1.366E-05  1.430E+00  5.701E-01  6.129E-02
  281  1.211E-03  1.366E-05  1.430E+00  5.701E-01  6.205E-02
  282  1.224E-03  1.366E-05  1.430E+00  5.701E-01  6.281E-02
  283  1.238E-03  1.366E-05  1.430E+00  5.701E-01  6.357E-02
  284  1.259E-03  2.075E-05  1.430E+00  5.701E-01  6.473E-02
  285  1.279E-03  2.075E-05  1.430E+00  5.701E-01  6.588E-02
  286  1.300E-03  2.075E-05  1.430E+00  5.702E-01  6.704E-02
  287  1.321E-03  2.075E-05  1.430E+00  5.702E-01  6.820E-02
  288  1.342E-03  2.075E-05  1.430E+00  5.702E-01  6.935E-02
  289  1.362E-03  2.075E-05  1.430E+00  5.702E-01  7.051E-02
  290  1.383E-03  2.075E-05  1.430E+00  5.702E-01  7.166E-02
  291  1.404E-03  2.075E-05  1.430E+00  5.702E-01  7.282E-02
  292  1.425E-03  2.075E-05  1.430E+00  5.702E-01  7.398E-02
  293  1.445E-03  2.075E-05  1.430E+00  5.702E-01  7.513E-02
  294  1.466E-03  2.075E-05  1.430E+00  5.702E-01  7.629E-02
  295  1.487E-03  2.075E-05  1.430E+00  5.702E-01  7.744E-02
  296  1.508E-03  2.075E-05  1.430E+00  5.702E-01  7.860E-02
  297  1.528E-03  2.075E-05  1.430E+00  5.703E-01  7.975E-02
  298  1.549E-03  2.075E-05  1.430E+00  5.703E-01  8.091E-02
  299  1.570E-03  2.075E-05  1.430E+00  5.703E-01  8.206E-02
  300  1.591E-03  2.075E-05  1.430E+00  5.703E-01  8.322E-02
  301  1.611E-03  2.075E-05  1.430E+00  5.703E-01  8.437E-02

